author_id,name,nationality,birth_year,bio_snippet,added_at
AUTH001,James Smith,NG,1947,James Smith is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH002,Mary Johnson,US,1987,Mary Johnson is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH003,Robert Williams,MX,1955,Robert Williams is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH004,Patricia Brown,BR,1948,Patricia Brown is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH005,John Garcia,CL,1946,John Garcia is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH006,Jennifer Martinez,EG,1987,Jennifer Martinez is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH007,Michael Davis,AT,1974,Michael Davis is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH008,Linda Wilson,DE,1977,Linda Wilson is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH009,William Anderson,NL,1942,William Anderson is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH010,Barbara Taylor,US,1945,Barbara Taylor is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH011,Elena Rossi,IN,1954,Elena Rossi is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH012,Carlos Garcia,PL,1978,Carlos Garcia is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH013,Yuki Tanaka,US,1975,Yuki Tanaka is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH014,Fatima Hassan,IN,1985,Fatima Hassan is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH015,Pierre Dubois,NG,1984,Pierre Dubois is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH016,Ingrid Bergstrom,UA,1966,Ingrid Bergstrom is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH017,Dmitri Petrov,BR,1968,Dmitri Petrov is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH018,Amara Okonkwo,RU,1957,Amara Okonkwo is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH019,Lucas Silva,NZ,1940,Lucas Silva is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH020,Sofia Ferrari,SG,1950,Sofia Ferrari is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH021,Hans Muller,AR,1967,Hans Muller is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH022,Mei Chen,KR,1957,Mei Chen is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH023,Omar Al-Rashid,CA,1953,Omar Al-Rashid is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH024,Nina Ivanova,SG,1961,Nina Ivanova is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH025,Alessandro Bruno,FR,1945,Alessandro Bruno is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH026,Clara Fischer,ES,1946,Clara Fischer is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH027,Takeshi Kimura,IT,1962,Takeshi Kimura is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH028,Leila Moreau,ZA,1956,Leila Moreau is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH029,Bruno Santos,NZ,1942,Bruno Santos is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
AUTH030,Astrid Eriksson,CL,1969,Astrid Eriksson is a celebrated author with works spanning multiple decades and audiences.,2026-04-15
